Time (ms),Intensity
0,0
60,0
120,0
180,0
240,0
300,0
360,0
420,0
480,0
540,0
600,0
660,0
720,0
780,0
840,0
900,0
960,0
1020,0
1080,0
1140,0
1200,0
1260,0
1320,0
1380,0
1440,0
1500,0
1560,0
1620,0
1680,0
1740,0
1800,0
1860,0
1920,0
1980,0
2040,0
2100,0
2160,0
2220,0
2280,0
2340,0
2400,0
2460,0
2520,0
2580,0
2640,0
2700,0
2760,0
2820,0
2880,0
2940,0
3000,0
3060,0
3120,0
3180,0
3240,0
3300,0
3360,0
3420,0
3480,0
3540,0
3600,0
3660,0
3720,0
3780,0
3840,0
3900,0
3960,0
4020,0
4080,0
4140,0
4200,0
4260,0
4320,0
4380,0
4440,0
4500,0
4560,0
4620,0
4680,0
4740,0
4800,0
4860,0
4920,0
4980,0
5040,0
5100,0
5160,0
5220,0
5280,0
5340,0
5400,0
5460,0
5520,0
5580,0
5640,0
5700,0
5760,0
5820,0
5880,0
5940,0
6000,0
6060,0
6120,0
6180,0
6240,0
6300,0
6360,0
6420,0
6480,0
6540,0
6600,0
6660,0
6720,0
6780,0
6840,0
6900,0
6960,0
7020,0
7080,0
7140,0
7200,0
7260,0
7320,0
7380,0
7440,0
7500,0
7560,0
7620,0
7680,0
7740,0
7800,0
7860,0
7920,0
7980,0
8040,0
8100,0
8160,0
8220,0
8280,0
8340,0
8400,0
8460,0
8520,0
8580,0
8640,0
8700,0
8760,0
8820,0
8880,0
8940,0
9000,0
9060,0
9120,0
9180,0
9240,0
9300,0
9360,0
9420,0
9480,0
9540,0
9600,0
9660,0
9720,0
9780,0
9840,0
9900,0
9960,0
10021,0
10081,0
10141,0
10201,0
10261,0
10321,0
10381,0
10441,0
10501,0
10561,0
10621,0
10681,0
10741,0
10801,0
10861,0
10921,0
10981,0
11041,0
11101,0
11161,0
11221,0
11281,0
11341,0
11401,0
11461,0
11521,0
11581,0
11641,0
11701,0
11761,0
11821,0
11881,0
11941,0
12001,0
12061,0
12121,0
12181,0
12241,0
12301,0
12361,0
12421,0
12481,0
12541,0
12601,0
12661,0
12721,0
12781,0
12841,0
12901,0
12961,0
13021,0
13081,0
13141,0
13201,0
13261,0
13321,0
13381,0
13441,0
13501,0
13561,0
13621,0
13681,0
13741,0
13801,0
13861,0
13921,0
13981,0
14041,0
14101,0
14161,0
14221,0
14281,0
14341,0
14401,0
14461,0
14521,0
14581,0
14641,0
14701,0
14761,0
14821,0
14881,0
14941,0
15001,0
