Time (ms),Intensity
0,1943547489
60,1362380861
121,42983449
181,1692504336
242,1777168816
302,1503925598
363,2018926425
423,1344640150
484,1498924998
544,1538932554
605,1429670361
665,1524099540
726,379043270
786,908731764
847,877595377
907,604002734
968,1131325799
1028,46356395
1089,1901379485
1150,648314990
1210,1404046791
1271,1397966284
1331,249919471
1392,1917197942
1452,1353750120
1513,1913570500
1573,1802384474
1634,681711328
1694,1822609195
1755,707154626
1815,369540965
1876,2104882418
1936,1289063211
1997,1787879831
2057,305829154
2118,289093903
2178,747898355
2239,960594929
2300,1095489567
2360,295675964
2421,700844699
2481,1990971165
2542,1445108458
2602,341498365
2663,1317455188
2723,250181095
2784,2043258847
2844,1618903549
2905,2131785227
2965,1707509756
3026,116224030
3086,503352448
3147,1210501314
3207,617266172
3268,46220678
3328,2097412028
3389,1387242838
3450,1704922874
3510,987305466
3571,791483268
3631,1598603766
3692,1179525736
3752,2015239963
3813,1464783992
3873,553615699
3934,923506383
3994,1575773510
4055,352550327
4115,103585543
4176,39483790
4236,1828986690
4297,1567399766
4357,2001008891
4418,445022488
4478,1289945987
4539,968331823
4600,814122320
4660,1351307531
4721,1773838891
4781,1694112755
4842,1426399404
4902,12972711
4963,1370960633
5023,1429297963
5084,1277642008
5144,1924854112
5205,1427110072
5265,234596069
5326,1436380699
5386,1590661320
5447,848995528
5507,1189075437
5568,124474056
5628,1875521252
5689,415796967
5750,1464399377
5810,567701033
5871,1783807123
5931,345486777
5992,275090292
6052,2145681633
6113,20038609
6173,2113901513
6234,1849203759
6294,787850649
6355,1668207718
6415,775352750
6476,619592841
6536,939924146
6597,881219787
6657,235035874
6718,1676714464
6778,1347509558
6839,527459555
6900,684283497
6960,814862542
7021,1969875312
7081,1416743115
7142,1620742368
7202,678068229
7263,190053143
7323,1390697487
7384,1648531138
7444,659861275
7505,792046631
7565,670320156
7626,2058614186
7686,819956772
7747,1633848950
7807,122192586
7868,80096377
7928,1022578258
7989,1055717991
8050,1778253610
8110,277237892
8171,147117436
8231,1698316338
8292,64126529
8352,2109846002
8413,2028555997
8473,406895847
8534,666758138
8594,1801580680
8655,461080594
8715,1582053491
8776,1501926232
8836,769075252
8897,1349312386
8957,1115307159
9018,1784418651
9078,830440803
9139,747829322
9200,75319824
9260,1424292922
9321,838611026
9381,755228018
9442,1650708011
9502,1939387163
9563,367190424
9623,859622557
9684,620137147
9744,1525952987
9805,1038938185
9865,332654261
9926,1893570077
9986,1189705228
10047,1015518684
10107,601171727
10168,468621311
10228,163082331
10289,1720545335
10350,1191742484
10410,877714042
10471,118513716
10531,512341749
10592,1679258296
10652,1115917168
10713,1323886850
10773,105550331
10834,31840027
10894,1329800300
10955,1519506574
11015,2074271213
11076,1643703510
11136,895387666
11197,1619551058
11257,1371658728
11318,1989864243
11378,1432358788
11439,246620526
11500,47451596
11560,1314564174
11621,866105915
11681,1429422374
11742,1343667281
11802,1528976246
11863,160958567
11923,1255070193
11984,1097583638
12044,707227547
12105,19563001
12165,1118116790
12226,489831515
12286,1673962591
12347,548538199
12407,2055256303
12468,305040952
12529,1005654493
12589,1262186341
12650,1570961224
12710,1945882636
12771,745182525
12831,1521952782
12892,2084367789
12952,2058916861
13013,116866482
13073,333325555
13134,549038701
13194,1343281140
13255,1633445355
13315,474031864
13376,1722161427
13436,718964682
13497,50775759
13557,87936776
13618,831450887
13679,1472282038
13739,746227616
13800,1849601402
13860,1383406856
13921,226821755
13981,56310093
14042,70491465
14102,456926427
14163,579107719
14223,1288923891
14284,1974244459
14344,1862011054
14405,1214949173
14465,1572162059
14526,1113804435
14586,1387507489
14647,493446763
14707,1530716955
14768,2020495301
14829,1887537881
14889,1890242702
14950,1197437015
15010,686087475
15071,702023467
15131,2093021066
15192,504669360
15252,1221440950
15313,2146774868
15373,701778315
15434,1839972922
15494,2062095183
15555,360791269
15615,1771004095
15676,1258399704
15736,1978333875
15797,1889405319
15857,861887935
15918,855542388
15979,335188939
16039,1289391830
16100,156874453
16160,559074563
16221,2023019339
16281,2100464162
16342,1722846671
16402,1264143294
16463,1692733703
16523,1917404865
16584,103278585
16644,1591680350
16705,1811316964
16765,1912101109
16826,66811224
16886,123695612
16947,848135602
17007,975014129
17068,356533849
17129,396972196
17189,64451509
17250,1451754313
17310,613539977
17371,1465789789
17431,971290576
17492,1631974090
17552,966136123
17613,1812328547
17673,1292857756
17734,1565870335
17794,857209206
17855,1746539398
17915,708968453
17976,1859342331
18036,234244303
18097,543725009
18157,1739386743
18218,1420779369
18279,1963959144
18339,924819930
18400,1372399514
18460,1605054833
18521,2081033272
18581,556780812
18642,490283292
18702,1006571263
18763,1149638801
18823,1045935764
18884,1251048938
18944,2125318700
19005,1792941322
19065,1599673569
19126,1881007036
19186,267395134
19247,1919411687
19307,320332383
19368,623044298
19429,1923381043
19489,1538286689
19550,1965174607
19610,1608475976
19671,712393486
19731,1853190944
19792,2035227293
19852,1616458633
19913,1887279734
19973,458592114
20034,78885033
20094,177460273
20155,360579772
20215,324951793
20276,954437302
20336,154682551
20397,561679094
20457,1764361839
20518,1341979217
20579,1901192784
20639,282377930
20700,1073402151
20760,557081208
20821,1727149551
20881,1128745615
20942,1851911902
21002,817936504
21063,1897366403
21123,118766053
21184,1004241137
21244,141248267
21305,1039448547
21365,700444000
21426,176791316
21486,1416686188
21547,1892067696
21607,574444705
21668,414729173
21729,215530014
21789,1441758189
21850,1007225
21910,1534965207
21971,811980434
22031,1831645663
22092,1102103457
22152,1299029752
22213,1947492107
22273,1272407493
22334,463063543
22394,753958057
22455,411483402
22515,1554392030
22576,2041209983
22636,1323472890
22697,784651276
22757,1688970489
22818,1749152527
22879,843734201
22939,94880410
23000,987760523
23060,652505425
23121,455474525
23181,2055696703
23242,197659077
23302,1446626651
23363,441076887
23423,1478500657
23484,1262117728
23544,154514018
23605,1569743054
23665,1773630328
23726,859529589
23786,499942449
23847,1178829295
23907,502796921
23968,1021740106
24029,1856035425
24089,1070633028
24150,1659179022
24210,1465323162
24271,777641775
24331,1989726422
24392,1070782839
24452,1433502009
24513,2134340367
24573,2072638286
24634,674960997
24694,291490903
24755,1382144035
24815,1399149299
24876,1518056112
24936,20802060
24997,856585915
25058,1196578907
25118,2026478642
25179,2082023262
25239,2076051061
25300,2075113927
25360,249588298
25421,1017981675
25481,1291243489
25542,1431947188
25602,966815665
25663,1541982515
25723,1945858138
25784,1636981296
25844,1881742356
25905,1506650452
25965,1797261834
26026,1090394229
26086,741593418
26147,125433679
26208,1725160785
26268,511418274
26329,218914770
26389,878992621
26450,1819294705
26510,389746621
26571,1242633748
26631,1303601600
26692,2008365814
26752,968245303
26813,1545159657
26873,1984500108
26934,657385807
26994,1531287731
27055,511074883
27115,1073458011
27176,1643596278
27236,1904213598
27297,5145252
27358,524795335
27418,394563087
27479,1817477003
27539,351785568
27600,1615733398
27660,1865691851
27721,1693804204
27781,1605308991
27842,518989210
27902,1656945555
27963,1081546603
28023,41688177
28084,518150699
28144,1140498796
28205,2144198303
28265,839081421
28326,409810646
28386,898604218
28447,363526031
28508,257125395
28568,1838399470
28629,852092844
28689,2066994794
28750,440907695
28810,790988647
28871,1410202182
28931,20658464
28992,1244192195
29052,932565163
29113,508699759
29173,1770144726
29234,1471571558
29294,1368652305
29355,1243473053
29415,2026756657
29476,36877844
29536,1737087956
29597,994443055
29658,1646196521
29718,1700729572
29779,649813423
29839,1989278497
29900,1472256250
29960,233250729
30021,386812590
30081,1811824636
30142,1652892414
30202,572893999
30263,2136606835
30323,593530417
30384,38706089
30444,1660358682
30505,25077576
30565,424748719
30626,1851194690
30686,1492143751
30747,1215465917
30808,867977062
30868,1805902125
30929,232249546
30989,1398203257
31050,473039996
31110,1524461157
31171,183588600
31231,1836140857
31292,626953642
31352,1764426680
31413,634220959
31473,933385813
31534,1243855212
31594,702508132
31655,46685662
31715,2056079254
31776,536735563
31836,149452825
31897,940743112
31958,170436364
32018,766507516
32079,761278525
32139,1961344869
32200,322484505
32260,777529122
32321,1158148345
32381,508379338
32442,952592797
32502,22515918
32563,1583094562
32623,715047021
32684,1801627232
32744,722846481
32805,78702454
32865,1833180237
32926,833671073
32986,1359647136
33047,722040448
33108,1011176590
33168,1062859142
33229,986815943
33289,489284751
33350,990611856
33410,1803881958
33471,943073522
33531,393305152
33592,1214679725
33652,1404167358
33713,1021526753
33773,67821070
33834,1233089001
33894,1590896138
33955,2048021581
34015,1836605758
34076,1748223890
34136,289559776
34197,729589200
34258,1883225036
34318,1827866755
34379,420435071
34439,1996699455
34500,230406887
34560,1637769214
34621,1266889476
34681,1994995418
34742,2013213084
34802,1489733798
34863,1205024922
34923,1552155566
34984,1928662456
35044,730416465
35105,1056391299
35165,2018695719
35226,1251906238
35286,683440561
35347,226617427
35408,894126251
35468,1356199530
35529,1796862072
35589,233227589
35650,707723693
35710,191373065
35771,1689281510
35831,80760349
35892,310973629
35952,1253192329
36013,1600099619
36073,2108729901
36134,1556193129
36194,1282491953
36255,195661126
36315,1098667005
36376,606295261
36437,1715754820
36497,440945183
36558,712729173
36618,658272208
36679,357189809
36739,925734996
36800,471428188
36860,1205766504
36921,1711593
36981,451511574
37042,1154381430
37102,1395235004
37163,224387641
37223,680266966
37284,926092998
37344,820356971
37405,832437984
37465,1983151381
37526,683128450
37587,1111413387
37647,945665241
37708,837840589
37768,1790651414
37829,248296855
37889,46121996
37950,1356589660
38010,357136633
38071,481644210
38131,1166353005
38192,2123489921
38252,1801006022
38313,1168996237
38373,459622411
38434,384186696
38494,461620132
38555,549107061
38615,1938648147
38676,864191028
38737,330011103
38797,468217489
38858,625441595
38918,1973117291
38979,18092314
39039,1125633291
39100,1321052071
39160,282345943
39221,689613689
39281,1649208689
39342,1061896303
39402,96887088
39463,1026195211
39523,1040845220
39584,2042663545
39644,1791511578
39705,1762536408
39765,216395756
39826,154412779
39887,121951659
39947,1434021675
40008,1323477931
40068,1077259889
40129,1719615646
40189,1475932552
40250,1633667164
40310,317613726
40371,1835864013
40431,1002739588
40492,1666315032
40552,879470797
40613,388864443
40673,441358353
40734,496340444
40794,1254860709
40855,715458272
40915,2051225596
40976,1792918244
41037,2051036505
41097,1184173581
41158,401498267
41218,1161542006
41279,1312454964
41339,2001506317
41400,1382059498
41460,1954494208
41521,1984419097
41581,1060347995
41642,301759386
41702,1787050377
41763,831865977
41823,2138238272
41884,608817164
41944,847264324
42005,958004996
42065,857797465
42126,1212197973
42187,178823579
42247,603278546
42308,426162731
42368,1435746791
42429,1247655763
42489,487346962
42550,831406971
42610,1092752326
42671,146954333
42731,2012961860
42792,1922411498
42852,163854061
42913,374084433
42973,1310200649
43034,1893058487
43094,327581062
43155,402409731
43215,748899613
43276,1954535273
43337,150624642
43397,729646171
43458,238349398
43518,240297202
43579,1598653332
43639,931256557
43700,7952241
43760,1574065045
43821,74690705
43881,741482433
43942,1631170680
44002,1980494901
44063,1161886887
44123,1303895430
44184,1500801187
44244,1184473128
44305,1500348828
44365,638737707
44426,422532990
44487,1191732850
44547,1363739524
44608,118924708
44668,1372924223
44729,1410192755
44789,190167694
44850,1900220769
44910,2024591337
44971,520812934
45031,719086296
45092,1139571360
45152,1043735942
45213,754912958
45273,602135724
45334,535433379
45394,56330611
45455,1765983419
45515,467807881
45576,1996566855
45637,1059423355
45697,593199806
45758,947682146
45818,1687822673
45879,1520741907
45939,1739399371
46000,1946551215
46060,1210241336
46121,1255612694
46181,2074085887
46242,2101067478
46302,1758648233
46363,1596444204
46423,450961593
46484,1501340702
46544,1875061834
46605,878979977
46665,947928800
46726,830474285
46787,1209137112
46847,1408597845
46908,616294000
46968,240542190
47029,542321102
47089,2071887380
47150,1996437608
47210,157481808
47271,1124078380
47331,143445566
47392,740018967
47452,1413994418
47513,1921700023
47573,205435353
47634,2077749982
47694,1728818512
47755,371415711
