Time (ms),Intensity
0,0
65,0
131,0
196,0
262,0
328,0
393,0
459,0
525,0
590,0
656,0
722,0
787,0
853,0
919,0
984,0
1050,0
1115,0
1181,0
1247,0
1312,0
1378,0
1444,0
1509,0
1575,0
1641,0
1706,0
1772,0
1838,0
1903,0
1969,0
2035,0
2100,0
2166,0
2231,0
2297,0
2363,0
2428,0
2494,0
2560,0
2625,0
2691,0
2757,0
2822,0
2888,0
2954,0
3019,0
3085,0
3150,0
3216,0
3282,0
3347,0
3413,0
3479,0
3544,0
3610,0
3676,0
3741,0
3807,0
3873,0
3938,0
4004,0
4070,0
4135,0
4201,0
4266,0
4332,0
4398,0
4463,0
4529,0
4595,0
4660,0
4726,0
4792,0
4857,0
4923,0
4989,0
5054,0
5120,0
5185,0
5251,0
5317,0
5382,0
5448,0
5514,0
5579,0
5645,0
5711,0
5776,0
5842,0
5908,0
5973,0
6039,0
6105,0
6170,0
6236,0
6301,0
6367,0
6433,0
6498,0
6564,0
6630,0
6695,0
6761,0
6827,0
6892,0
6958,0
7024,0
7089,0
7155,0
7221,0
7286,0
7352,0
7417,0
7483,0
7549,0
7614,0
7680,0
7746,0
7811,0
7877,0
7943,0
8008,0
8074,0
8140,0
8205,0
8271,0
8336,0
8402,0
8468,0
8533,0
8599,0
8665,0
8730,0
8796,0
8862,0
8927,0
8993,0
9059,0
9124,0
9190,0
9256,0
9321,0
9387,0
9452,0
9518,0
9584,0
9649,0
9715,0
9781,0
9846,0
9912,0
9978,0
10043,0
10109,0
10175,0
10240,0
10306,0
10371,0
10437,0
10503,0
10568,0
10634,0
10700,0
10765,0
10831,0
10897,0
10962,0
11028,0
11094,0
11159,0
11225,0
11291,0
11356,0
11422,0
11487,0
11553,0
11619,0
11684,0
11750,0
11816,0
11881,0
11947,0
12013,0
12078,0
12144,0
12210,0
12275,0
12341,0
12407,0
12472,0
12538,0
12603,0
12669,0
12735,0
12800,0
12866,0
12932,0
12997,0
13063,0
13129,0
13194,0
13260,0
13326,0
13391,0
13457,0
13522,0
13588,0
13654,0
13719,0
13785,0
13851,0
13916,0
13982,0
14048,0
14113,0
14179,0
14245,0
14310,0
14376,0
14442,0
14507,0
14573,0
14638,0
14704,0
14770,0
14835,0
14901,0
14967,0
15032,0
15098,0
15164,0
15229,0
15295,0
15361,0
15426,0
15492,0
15557,0
15623,0
15689,0
15754,0
15820,0
15886,0
15951,0
16017,0
16083,0
16148,0
16214,0
16280,0
16345,0
16411,0
16477,0
16542,0
16608,0
16673,0
16739,0
16805,0
16870,0
16936,0
17002,0
17067,0
17133,0
17199,0
17264,0
17330,0
17396,0
17461,0
17527,0
17592,0
17658,0
17724,0
17789,0
17855,0
17921,0
17986,0
18052,0
18118,0
18183,0
18249,0
18315,0
18380,0
18446,0
18512,0
18577,0
18643,0
18708,0
18774,0
18840,0
18905,0
18971,0
19037,0
19102,0
19168,0
19234,0
19299,0
19365,0
19431,0
19496,0
19562,0
19628,0
19693,0
19759,0
19824,0
19890,0
19956,0
20021,0
20087,0
20153,0
20218,0
20284,0
20350,0
20415,0
20481,0
20547,0
20612,0
20678,0
20743,0
20809,0
20875,0
20940,0
21006,0
21072,0
21137,0
21203,0
21269,0
21334,0
21400,0
21466,0
21531,0
21597,0
21663,0
21728,0
21794,0
21859,0
21925,0
21991,0
